ine5,nom,costaner,dist_m
43107,Pira,0,31765
08095,Granera,0,31782
08257,Santa Maria de Miralles,0,31923
08286,la Torre de Claramunt,0,32097
08055,Castellcir,0,32106
08269,Seva,0,32185
43056,la Fatarella,0,32238
43032,Bot,0,32373
17003,Albanyà,0,32473
43018,Arnes,0,32486
08069,Collbató,0,32551
43027,la Bisbal de Montsant,0,32635
17063,Espinelves,0,32635
08044,Capellades,0,32767
43177,Vinebre,0,32791
25169,la Pobla de Cérvoles,0,32983
25253,el Vilosell,0,33049
17903,Sant Julià del Llor i Bonmatí,0,33168
17019,Besalú,0,33318
08179,Rellinars,0,33372
08021,Bellprat,0,33534
43099,la Palma d'Ebre,0,33934
17189,la Cellera de Ter,0,34016
17174,Sant Miquel de Campmajor,0,34105
08152,Orpí,0,34306
08048,Carme,0,34344
25118,Juncosa,0,34892
08017,Balenyà,0,35081
43029,Blancafort,0,35146
43105,les Piles de Gaià,0,35191
08165,la Pobla de Claramunt,0,35226
17172,Sant Martí de Llémena,0,35229
17007,Amer,0,35692
08303,Vilanova de Sau,0,35823
08025,el Bruc,0,35927
08053,Castellbell i el Vilar,0,36179
43060,Flix,0,36216
08241,Sant Sadurní d'Osormort,0,36276
43147,Solivella,0,36327
25255,Vinaixa,0,36372
08262,Sant Vicenç de Castellet,0,36407
43130,Rocafort de Queralt,0,36507
08278,Taradell,0,36517
08127,Monistrol de Montserrat,0,36672
17154,Sales de Llierca,0,36705
08128,Monistrol de Calders,0,36723
25170,Bellaguarda,0,36773
17194,Susqueda,0,37025
08070,Collsuspina,0,37048
08226,Sant Martí de Tous,0,37078
25218,Tarrés,0,37223
08277,Talamanca,0,37316
08138,Moià,0,37403
08063,Castellolí,0,37491
08302,Vilanova del Camí,0,37621
17105,Mieres,0,37649
08182,el Pont de Vilomara i Rocafort,0,37775
08250,Santa Margarida de Montbui,0,37831
43041,Caseres,0,38108
08283,Tona,0,38147
17010,Argelaguer,0,38153
08111,Malla,0,38155
43046,Conesa,0,38411
08220,Sant Julià de Vilatorta,0,38683
43139,Santa Coloma de Queralt,0,38704
43061,Forès,0,38728
17183,Sant Aniol de Finestres,0,38740
25009,l'Albi,0,38807
25101,la Granadella,0,38875
43022,Batea,0,39169
25056,Bovera,0,39258
08242,Marganell,0,39310
08143,Òdena,0,39541
43175,Vilalba dels Arcs,0,39554
17200,Tortellà,0,39630
25097,Fulleda,0,39837
08102,Igualada,0,40176
