ine5,nom,densitat_hab_km2,our_gap_pct,etca_gap_pct,our_lo_pct,our_hi_pct,signe_oposat,classe
08211,Sant Feliu de Llobregat,3928.0,-22.9,-6.6,-26.0,-5.1,0,coincident
08213,Sant Fruitós de Bages,414.5,2.0,3.8,-13.1,24.2,0,coincident
08214,Vilassar de Dalt,1035.4,-10.6,-3.8,-23.8,8.8,0,coincident
08215,Sant Hipòlit de Voltregà,3900.7,-7.8,-13.2,-11.5,13.5,0,coincident
08217,Sant Joan Despí,5675.3,-22.0,-3.1,-25.1,-4.0,0,coincident
08218,Sant Joan de Vilatorrada,667.0,-10.7,-9.7,-23.9,8.7,0,coincident
08219,Vilassar de Mar,5335.3,-11.1,-5.6,-31.1,11.4,0,coincident
08220,Sant Julià de Vilatorta,203.6,-1.7,-14.0,-16.2,19.7,0,coincident
08221,Sant Just Desvern,2696.0,-21.8,-3.9,-24.9,-3.8,0,coincident
08222,Sant Llorenç d'Hortons,135.3,8.4,-12.2,-7.6,31.9,1,soroll
08223,Sant Llorenç Savall,62.5,-13.4,-7.2,-26.2,5.4,0,coincident
08224,Sant Martí de Centelles,48.8,-15.4,-14.9,-27.9,2.9,0,coincident
08226,Sant Martí de Tous,32.7,-21.1,-14.2,-32.8,-4.0,0,coincident
08227,Sant Martí Sarroca,96.8,2.2,-9.9,-12.9,24.4,1,soroll
08230,Premià de Dalt,1625.8,-4.1,-11.5,-8.0,18.0,0,coincident
08231,Sant Pere de Ribes,789.2,-1.7,-8.7,-23.8,23.2,0,coincident
08232,Sant Pere de Riudebitlles,452.7,-6.2,-7.4,-20.0,14.2,0,coincident
08233,Sant Pere de Torelló,47.0,-38.1,-5.9,-47.2,-24.7,0,coincident
08234,Sant Pere de Vilamajor,143.2,3.1,-7.9,-12.1,25.6,1,soroll
08235,Sant Pol de Mar,775.3,13.1,13.2,-12.3,41.7,0,coincident
08236,Sant Quintí de Mediona,183.4,-15.5,-3.9,-28.0,2.8,0,coincident
08237,Sant Quirze de Besora,260.8,-7.1,-2.0,-20.8,13.1,0,coincident
08238,Sant Quirze del Vallès,1426.7,-14.0,-6.9,-26.7,4.6,0,coincident
08240,Sant Sadurní d'Anoia,683.4,-6.9,0.5,-20.7,13.3,1,soroll
08244,Santa Coloma de Cervelló,1133.4,-21.8,-15.2,-28.2,-13.2,0,coincident
08245,Santa Coloma de Gramenet,17152.5,-18.8,-11.9,-22.0,-0.0,0,coincident
08246,Santa Eugènia de Berga,329.1,-2.8,7.1,-17.2,18.3,1,soroll
08247,Santa Eulàlia de Riuprimer,106.5,-22.1,-16.1,-33.6,-5.1,0,coincident
08248,Santa Eulàlia de Ronçana,562.3,-3.4,-9.6,-17.7,17.6,0,coincident
08250,Santa Margarida de Montbui,381.3,-15.1,-14.0,-27.7,3.3,0,coincident
08251,Santa Margarida i els Monjos,445.8,-10.3,-3.7,-23.6,9.1,0,coincident
08252,Barberà del Vallès,4052.6,-13.0,1.6,-16.5,7.1,1,soroll
08254,"Esquirol, l'",36.6,-9.1,5.2,-22.5,10.6,1,soroll
08258,Santa Maria d'Oló,16.3,-11.5,1.1,-24.6,7.7,1,soroll
08259,Santa Maria de Palautordera,590.4,-2.1,-7.9,-16.6,19.2,0,coincident
08260,Santa Perpètua de Mogoda,1670.7,-12.1,1.6,-15.6,8.2,1,soroll
08261,Santa Susanna,317.2,25.1,164.5,-3.0,56.7,0,coincident
08262,Sant Vicenç de Castellet,582.8,-8.6,-8.1,-22.1,11.2,0,coincident
08263,Sant Vicenç dels Horts,3088.6,-14.3,-8.2,-17.7,5.5,0,coincident
08264,Sant Vicenç de Montalt,849.9,24.6,2.4,-3.4,56.1,0,coincident
08265,Sant Vicenç de Torelló,315.0,-0.5,-11.9,-15.2,21.1,0,coincident
08266,Cerdanyola del Vallès,1882.6,-14.1,21.2,-17.6,5.7,1,soroll
08267,Sentmenat,335.3,-15.2,-5.5,-27.7,3.2,0,coincident
08268,Cercs,25.3,-4.0,-5.3,-18.2,16.8,0,coincident
08269,Seva,124.0,-8.8,-2.1,-22.3,10.9,0,coincident
08270,Sitges,746.9,16.6,15.6,-9.6,46.2,0,coincident
08273,Subirats,59.2,-8.1,-8.7,-21.7,11.8,0,coincident
08274,Súria,256.4,-12.0,-6.1,-25.0,7.1,0,coincident
08278,Taradell,257.1,-6.3,-8.9,-20.1,14.1,0,coincident
08279,Terrassa,3267.7,-13.0,-4.8,-16.5,7.1,0,coincident
08281,Teià,1028.5,-9.2,-13.2,-22.6,10.5,0,coincident
08282,Tiana,1182.6,-17.8,-16.0,-24.6,-8.9,0,coincident
08283,Tona,517.5,-11.4,-6.4,-24.5,7.8,0,coincident
08284,Tordera,222.5,0.2,-0.8,-14.6,22.0,1,soroll
08285,Torelló,1110.0,-9.9,-5.6,-23.2,9.6,0,coincident
08286,"Torre de Claramunt, la",276.9,-2.6,-10.0,-17.0,18.5,0,coincident
08287,Torrelavit,64.3,-19.9,-6.2,-31.7,-2.5,0,coincident
08288,Torrelles de Foix,72.3,-13.8,-4.5,-26.6,4.9,0,coincident
08289,Torrelles de Llobregat,454.9,-14.6,-16.2,-21.6,-5.2,0,coincident
08290,Ullastrell,293.2,-14.0,-9.1,-26.7,4.7,0,coincident
08291,Vacarisses,186.0,-6.8,-8.1,-20.6,13.4,0,coincident
08292,Vallbona d'Anoia,219.7,-12.2,-5.1,-25.2,6.9,0,coincident
08294,Vallgorguina,145.1,-6.2,-12.2,-20.0,14.2,0,coincident
08295,Vallirana,675.4,-0.6,-11.5,-15.3,21.0,0,coincident
08296,Vallromanes,260.9,10.5,-5.3,-5.9,34.5,1,soroll
08298,Vic,1590.8,-2.3,5.7,-6.3,20.2,1,soroll
08300,Viladecavalls,390.7,-11.6,-3.8,-24.6,7.6,0,coincident
08301,Viladecans,3329.7,-19.4,-7.6,-16.7,-3.5,0,coincident
08302,Vilanova del Camí,1228.0,-12.0,-11.1,-25.0,7.1,0,coincident
