ine5,municipi,renda_neta_persona_2023
43139,Santa Coloma de Queralt,14979
43140,Santa Oliva,12925
43141,Pontils,13642
43142,Sarral,14029
43143,Savallà del Comtat,
43144,"Secuita, La",16836
43145,"Selva del Camp, La",15776
43146,Senan,
43147,Solivella,16642
43148,Tarragona,15847
43149,Tivenys,13169
43150,Tivissa,14554
43151,"Torre de Fontaubella, La",16184
43152,"Torre de l'Espanyol, La",13079
43153,Torredembarra,14401
43154,Torroja del Priorat,13800
43155,Tortosa,13896
43156,Ulldecona,11997
43157,Ulldemolins,14743
43158,Vallclara,
43159,Vallfogona de Riucorb,
43160,Vallmoll,16224
43161,Valls,14607
43162,Vandellòs i l'Hospitalet de l'Infant,16644
43163,"Vendrell, El",14013
43164,Vespella de Gaià,14931
43165,Vilabella,15174
43166,Vilallonga del Camp,14974
43167,Vilanova d'Escornalbou,14534
43168,Vilanova de Prades,11118
43169,Vilaplana,17308
43170,Vila-rodona,13990
43171,Vila-seca,14023
43172,Vilaverd,14734
43173,"Vilella Alta, La",15582
43174,"Vilella Baixa, La",14120
43175,Vilalba dels Arcs,12813
43176,Vimbodí i Poblet,15891
43177,Vinebre,15550
43178,Vinyols i els Arcs,16834
43901,Deltebre,12799
43902,Sant Jaume d'Enveja,12361
43903,Camarles,12653
43904,"Aldea, L'",12088
43905,Salou,14097
43906,"Ampolla, L'",14780
43907,"Canonja, La",14618
