ine5,municipi,tipus_territorial,densitat_hab_km2,etca,kwh_dom,base_implied,base_pred,err_regressio_pct,err_loo_pct
08259,Santa Maria de Palautordera,interior_rural,590.4,9208.0,13638956,1481.0,1394.0,6.2,6.2
08262,Sant Vicenç de Castellet,interior_rural,582.8,9313.0,11097927,1192.0,1199.0,-0.6,-0.6
08265,Sant Vicenç de Torelló,interior_rural,315.0,1841.0,3145090,1708.0,1513.0,12.9,12.9
08267,Sentmenat,interior_rural,335.3,9003.0,11263455,1251.0,1395.0,-10.3,-10.3
08268,Cercs,interior_rural,25.3,1130.0,2021670,1789.0,1766.0,1.3,1.3
08269,Seva,interior_rural,124.0,3721.0,6010967,1615.0,1735.0,-6.9,-6.9
08272,Sora,interior_rural,7.0,,435201,,1811.0,,
08273,Subirats,interior_rural,59.2,3000.0,5236525,1746.0,1734.0,0.7,0.7
08274,Súria,interior_rural,256.4,5703.0,7336206,1286.0,1373.0,-6.3,-6.4
08275,Tavèrnoles,interior_rural,17.9,,747398,,2095.0,,
08276,Tagamanent,interior_rural,7.8,,565246,,1933.0,,
08277,Talamanca,interior_rural,7.3,,443358,,1906.0,,
08278,Taradell,interior_rural,257.1,6218.0,9365270,1506.0,1463.0,3.0,3.0
08280,Tavertet,interior_rural,4.0,,357513,,2038.0,,
08283,Tona,interior_rural,517.5,7951.0,10116421,1272.0,1344.0,-5.4,-5.4
08284,Tordera,interior_rural,222.5,18652.0,24765650,1328.0,1315.0,1.0,1.0
08285,Torelló,interior_rural,1110.0,14266.0,17199638,1206.0,1264.0,-4.6,-4.6
08286,"Torre de Claramunt, la",interior_rural,276.9,3703.0,5692140,1537.0,1421.0,8.2,8.2
08287,Torrelavit,interior_rural,64.3,1416.0,1881957,1329.0,1557.0,-14.6,-14.7
08288,Torrelles de Foix,interior_rural,72.3,2542.0,3461009,1362.0,1509.0,-9.8,-9.9
08290,Ullastrell,interior_rural,293.2,1981.0,2852092,1440.0,1521.0,-5.3,-5.4
08291,Vacarisses,interior_rural,186.0,6938.0,11806948,1702.0,1679.0,1.4,1.4
08292,Vallbona d'Anoia,interior_rural,219.7,1333.0,1688942,1267.0,1369.0,-7.4,-7.5
08293,Vallcebre,interior_rural,9.6,,398447,,1999.0,,
08294,Vallgorguina,interior_rural,145.1,2812.0,4894342,1741.0,1629.0,6.8,6.9
08295,Vallirana,interior_rural,675.4,14117.0,22897046,1622.0,1444.0,12.3,12.4
08296,Vallromanes,interior_rural,260.9,2602.0,5342532,2053.0,1759.0,16.7,17.1
08297,Veciana,interior_rural,4.5,,390049,,1731.0,,
08299,Vilada,interior_rural,19.8,,677555,,1762.0,,
08300,Viladecavalls,interior_rural,390.7,7495.0,10554025,1408.0,1532.0,-8.1,-8.1
08302,Vilanova del Camí,interior_rural,1228.0,11421.0,13044021,1142.0,1153.0,-1.0,-1.0
08303,Vilanova de Sau,interior_rural,5.4,,524324,,1939.0,,
08304,Vilobí del Penedès,interior_rural,122.2,1091.0,1754419,1608.0,1728.0,-6.9,-7.0
08306,Vilalba Sasserra,interior_rural,133.4,,1062554,,1504.0,,
08308,Viver i Serrateix,interior_rural,2.6,,380340,,2105.0,,
08901,Rupit i Pruit,interior_rural,5.7,,671683,,1980.0,,
08902,Vilanova del Vallès,interior_rural,375.8,5102.0,8657308,1697.0,1600.0,6.0,6.1
08903,Sant Julià de Cerdanyola,interior_rural,19.4,,503981,,1953.0,,
08905,"Palma de Cervelló, la",interior_rural,587.1,2594.0,4512328,1740.0,1556.0,11.8,11.9
17001,Agullana,interior_rural,32.8,,1435422,,1972.0,,
17002,Aiguaviva,interior_rural,57.0,1058.0,1476565,1396.0,1746.0,-20.1,-20.2
17003,Albanyà,interior_rural,1.8,,155869,,1654.0,,
17004,Albons,interior_rural,72.3,,1816807,,1734.0,,
17005,"Far d'Empordà, el",interior_rural,68.1,1146.0,906107,791.0,1681.0,-53.0,-53.1
17006,Alp,interior_rural,38.7,3146.0,6419400,2040.0,1943.0,5.0,5.1
17007,Amer,interior_rural,60.4,2856.0,4008148,1403.0,1738.0,-19.3,-19.4
17008,Anglès,interior_rural,359.7,5531.0,7114455,1286.0,1512.0,-14.9,-15.1
17009,Arbúcies,interior_rural,75.8,6368.0,9128441,1433.0,1606.0,-10.7,-10.8
17010,Argelaguer,interior_rural,35.4,,563962,,1500.0,,
17012,Avinyonet de Puigventós,interior_rural,135.1,1498.0,2912256,1944.0,1673.0,16.2,16.3
17016,Bàscara,interior_rural,62.4,1052.0,2055950,1954.0,1663.0,17.5,17.7
17018,Bellcaire d'Empordà,interior_rural,57.9,,1312607,,1460.0,,
17019,Besalú,interior_rural,548.7,2506.0,3253331,1298.0,1287.0,0.9,0.9
17020,Bescanó,interior_rural,141.5,4604.0,7409678,1609.0,1478.0,8.9,8.9
17021,Beuda,interior_rural,5.6,,304304,,1685.0,,
17022,"Bisbal d'Empordà, la",interior_rural,560.5,10991.0,13200486,1201.0,1176.0,2.2,2.2
17024,Bolvir,interior_rural,45.8,,4559515,,2298.0,,
17025,Bordils,interior_rural,255.5,1572.0,2981170,1896.0,1469.0,29.1,29.2
17026,Borrassà,interior_rural,80.6,,1357673,,1822.0,,
17027,Breda,interior_rural,784.9,3610.0,4988601,1382.0,1298.0,6.5,6.5
17028,Brunyola,interior_rural,10.6,,792387,,1967.0,,
17029,Boadella i les Escaules,interior_rural,24.1,,437166,,1773.0,,
17030,Cabanes,interior_rural,64.7,,1212146,,1622.0,,
17031,Cabanelles,interior_rural,5.0,,642439,,1674.0,,
17033,Caldes de Malavella,interior_rural,147.7,8618.0,14937894,1733.0,1488.0,16.5,16.5
17035,Camós,interior_rural,45.3,,1165686,,1728.0,,
17036,Campdevànol,interior_rural,98.8,3032.0,3578525,1180.0,1419.0,-16.8,-17.0
17037,Campelles,interior_rural,8.7,,415794,,2118.0,,
17038,Campllong,interior_rural,63.5,,1137826,,1764.0,,
17039,Camprodon,interior_rural,24.1,3614.0,4735519,1310.0,1859.0,-29.5,-29.7
17040,Canet d'Adri,interior_rural,16.6,,1311700,,2009.0,,
17041,Cantallops,interior_rural,17.6,,555139,,1787.0,,
17042,Capmany,interior_rural,26.0,,965456,,1730.0,,
17043,Queralbs,interior_rural,2.2,,693166,,2110.0,,
