ine5,nom,tipus,padro,estimacio,rang_baix,rang_alt,registre,marge_rel_pct
25238,Vallbona de les Monges,interior_rural,221,210,166,286,soroll,0.0
25239,"Valls de Valira, les",interior_rural,810,680,539,928,soroll,0.0
25242,Verdú,interior_rural,885,736,584,1005,soroll,0.0
25244,Vilagrassa,interior_rural,633,529,420,722,soroll,0.0
25245,Vilaller,interior_rural,506,547,434,746,soroll,0.0
25247,Vilamòs,interior_rural,176,138,109,188,soroll,0.0
25249,Vilanova de l'Aguda,interior_rural,195,191,152,261,soroll,0.0
25250,Vilanova de Meià,interior_rural,462,480,381,655,soroll,0.0
25252,Vila-sana,interior_rural,744,678,538,926,soroll,0.0
25253,"Vilosell, el",interior_rural,192,258,205,353,senyal_mes,6.8
25255,Vinaixa,interior_rural,449,381,302,520,soroll,0.0
25901,Vall de Cardós,interior_rural,381,463,368,633,soroll,0.0
25902,Sant Martí de Riucorb,interior_rural,675,652,517,890,soroll,0.0
25903,"Guingueta d'Àneu, la",interior_rural,283,332,263,453,soroll,0.0
25904,Castell de Mur,interior_rural,175,157,124,214,soroll,0.0
25905,Ribera d'Ondara,interior_rural,454,398,316,543,soroll,0.0
25906,"Valls d'Aguilar, les",interior_rural,269,206,163,281,soroll,0.0
25907,Torrefeta i Florejacs,interior_rural,608,483,383,659,soroll,0.0
25908,Fígols i Alinyà,interior_rural,244,265,210,361,soroll,0.0
25909,"Vansa i Fórnols, la",interior_rural,189,196,156,268,soroll,0.0
25910,Josa i Tuixén,interior_rural,123,162,128,221,senyal_mes,4.1
25911,"Plans de Sió, els",interior_rural,521,422,335,576,soroll,0.0
25913,Riu de Cerdanya,interior_rural,99,158,126,216,senyal_mes,27.3
43003,"Albiol, l'",interior_rural,538,424,336,579,soroll,0.0
43006,Aldover,interior_rural,897,808,641,1103,soroll,0.0
43007,"Aleixar, l'",interior_rural,980,767,609,1047,soroll,0.0
43008,Alfara de Carles,interior_rural,363,365,289,498,soroll,0.0
43010,Alió,interior_rural,506,425,338,581,soroll,0.0
43015,Arbolí,interior_rural,129,99,78,135,soroll,0.0
43017,"Argentera, l'",interior_rural,129,95,75,130,soroll,0.0
43018,Arnes,interior_rural,463,460,365,628,soroll,0.0
43021,Barberà de la Conca,interior_rural,480,475,377,649,soroll,0.0
43023,Bellmunt del Priorat,interior_rural,294,318,252,434,soroll,0.0
43025,Benifallet,interior_rural,724,649,515,886,soroll,0.0
43027,"Bisbal de Falset, la",interior_rural,207,240,190,327,soroll,0.0
43029,Blancafort,interior_rural,393,372,295,508,soroll,0.0
43030,Bonastre,interior_rural,762,792,628,1081,soroll,0.0
43032,Bot,interior_rural,552,556,441,759,soroll,0.0
43034,Bràfim,interior_rural,697,731,580,998,soroll,0.0
43035,Cabacés,interior_rural,301,207,164,282,senyal_menys,6.3
43039,Capafonts,interior_rural,106,104,82,142,soroll,0.0
43040,Capçanes,interior_rural,426,388,308,530,soroll,0.0
43041,Caseres,interior_rural,240,203,161,277,soroll,0.0
43045,Colldejou,interior_rural,161,125,99,171,soroll,0.0
43046,Conesa,interior_rural,113,110,87,150,soroll,0.0
43053,Duesaigües,interior_rural,223,169,134,231,soroll,0.0
43056,"Fatarella, la",interior_rural,856,887,704,1211,soroll,0.0
43058,"Figuera, la",interior_rural,123,114,90,155,soroll,0.0
43059,Figuerola del Camp,interior_rural,346,240,191,328,senyal_menys,5.2
43062,Freginals,interior_rural,425,228,181,311,senyal_menys,26.8
43063,"Galera, la",interior_rural,717,681,541,930,soroll,0.0
43065,Garcia,interior_rural,540,513,407,700,soroll,0.0
43066,"Garidells, els",interior_rural,204,129,103,176,senyal_menys,13.7
43067,Ginestar,interior_rural,800,592,470,808,soroll,0.0
43068,Godall,interior_rural,621,539,427,735,soroll,0.0
43069,Gratallops,interior_rural,232,176,139,240,soroll,0.0
43070,"Guiamets, els",interior_rural,256,239,189,326,soroll,0.0
43072,"Lloar, el",interior_rural,100,104,82,142,soroll,0.0
43073,Llorac,interior_rural,102,94,75,128,soroll,0.0
43075,Margalef,interior_rural,108,196,155,267,senyal_mes,43.5
43076,Marçà,interior_rural,599,554,439,756,soroll,0.0
43077,Mas de Barberans,interior_rural,546,401,318,547,soroll,0.0
43079,Masllorenç,interior_rural,567,619,491,845,soroll,0.0
43080,"Masó, la",interior_rural,288,267,212,364,soroll,0.0
43081,Maspujols,interior_rural,893,729,578,995,soroll,0.0
43082,"Masroig, el",interior_rural,480,443,352,605,soroll,0.0
43083,"Milà, el",interior_rural,197,194,154,265,soroll,0.0
43084,Miravet,interior_rural,683,694,550,947,soroll,0.0
43085,"Molar, el",interior_rural,308,249,198,341,soroll,0.0
43089,Montferri,interior_rural,473,531,422,726,soroll,0.0
43091,Mont-ral,interior_rural,185,164,130,224,soroll,0.0
43096,"Morera de Montsant, la",interior_rural,144,156,124,213,soroll,0.0
43097,"Nou de Gaià, la",interior_rural,611,552,438,754,soroll,0.0
43098,Nulles,interior_rural,557,503,399,686,soroll,0.0
43099,"Palma d'Ebre, la",interior_rural,335,307,244,420,soroll,0.0
43101,Passanant i Belltall,interior_rural,162,146,116,199,soroll,0.0
43102,Paüls,interior_rural,543,473,375,645,soroll,0.0
43105,"Piles, les",interior_rural,230,180,143,246,soroll,0.0
43107,Pira,interior_rural,499,380,301,519,soroll,0.0
43110,"Pobla de Massaluca, la",interior_rural,344,306,243,417,soroll,0.0
43112,Poboleda,interior_rural,333,299,237,408,soroll,0.0
43113,"Pont d'Armentera, el",interior_rural,498,423,336,578,soroll,0.0
