codi6;ine5;nom
082592;08259;Santa Maria de Palautordera
431401;43140;Santa Oliva
171848;17184;Santa Pau
082606;08260;Santa Perpètua de Mogoda
082613;08261;Santa Susanna
081923;08192;Santpedor
431423;43142;Sarral
171864;17186;Sarrià de Ter
252017;25201;Sarroca de Bellera
252000;25200;Sarroca de Lleida
171870;17187;Saus, Camallera i Llampaies
431439;43143;Savallà del Comtat
431460;43146;Senan
252022;25202;Senterada
082671;08267;Sentmenat
171903;17190;Serinyà
171910;17191;Serra de Daró
252043;25204;Seròs
171925;17192;Setcases
082690;08269;Seva
252056;25205;Sidamon
171931;17193;Sils
082704;08270;Sitges
170524;17052;Siurana
082711;08271;Sobremunt
431476;43147;Solivella
252075;25207;Solsona
082726;08272;Sora
252081;25208;Soriguera
252094;25209;Sort
252108;25210;Soses
082732;08273;Subirats
252115;25211;Sudanell
252120;25212;Sunyer
171946;17194;Susqueda
082747;08274;Súria
082763;08276;Tagamanent
082779;08277;Talamanca
252154;25215;Talarn
252167;25216;Talavera
082785;08278;Taradell
431482;43148;Tarragona
252192;25219;Tarroja de Segarra
252189;25218;Tarrés
082802;08280;Tavertet
082750;08275;Tavèrnoles
082819;08281;Teià
171962;17196;Terrades
082798;08279;Terrassa
082824;08282;Tiana
252228;25222;Tiurana
431495;43149;Tivenys
431508;43150;Tivissa
082830;08283;Tona
082845;08284;Tordera
082858;08285;Torelló
252252;25225;Tornabous
252332;25233;Torre-serona
252265;25226;Torrebesses
431536;43153;Torredembarra
252287;25228;Torrefarrera
259078;25907;Torrefeta i Florejacs
252304;25230;Torregrossa
252311;25231;Torrelameu
082877;08287;Torrelavit
082883;08288;Torrelles de Foix
082896;08289;Torrelles de Llobregat
171978;17197;Torrent
252326;25232;Torres de Segre
171984;17198;Torroella de Fluvià
171997;17199;Torroella de Montgrí
431541;43154;Torroja del Priorat
172001;17200;Tortellà
431554;43155;Tortosa
252234;25223;Torà
172018;17201;Toses
172023;17202;Tossa de Mar
252347;25234;Tremp
252173;25217;Tàrrega
252206;25220;Térmens
252213;25221;Tírvia
082900;08290;Ullastrell
172057;17205;Ullastret
431567;43156;Ulldecona
431573;43157;Ulldemolins
172044;17204;Ullà
172039;17203;Ultramort
172060;17206;Urús
082917;08291;Vacarisses
259010;25901;Vall de Cardós
172095;17209;Vall-llobrega
082922;08292;Vallbona d'Anoia
252385;25238;Vallbona de les Monges
082938;08293;Vallcebre
431589;43158;Vallclara
252402;25240;Vallfogona de Balaguer
171707;17170;Vallfogona de Ripollès
431592;43159;Vallfogona de Riucorb
082943;08294;Vallgorguina
082956;08295;Vallirana
431606;43160;Vallmoll
082969;08296;Vallromanes
431613;43161;Valls
431628;43162;Vandellòs i l'Hospitalet de l'Infant
082975;08297;Veciana
